ITEM;ÁREA;ITEM;DESCRIPCIÓN;ITEM;DESCRIPCIÓN;ITEM;;ITEM;PROCESO;DESCRIPCIÓN;UN;"Cantidad
Remanente";;PROCESO;TOTAL (M3);;INICIO;FIN;DÍAS;;01-04-2024;01-05-2024;01-06-2024;01-07-2024;01-08-2024;01-09-2024;01-10-2024;01-11-2024;01-12-2024;01-01-2025;01-02-2025;01-03-2025;01-04-2025;01-05-2025;01-06-2025;01-07-2025;01-08-2025;01-09-2025;01-10-2025;01-11-2025;01-12-2025;01-01-2026;01-02-2026;01-03-2026;01-04-2026;01-05-2026;01-06-2026;01-07-2026
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.3.;Rellenos  - Coronamiento  Muro Noroeste 2;1.2.1.3.2;VERDADERO;1.2.1.3.2;Pretil;Pretil de seguridad - coronamiento MNO2;m3;604;;Relleno;604;;28-03-2025;29-03-2025;2;;0;0;0;0;0;0;0;0;0;0;0;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.4.;Rellenos  - Filtro y Relaves;1.2.1.4.1;VERDADERO;1.2.1.4.1;Relleno;Relleno tipo Filtro F1 - MNO2;m3;3805;;Relleno;3805;;03-03-2025;10-03-2025;8;;0;0;0;0;0;0;0;0;0;0;0;3805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.4.;Rellenos  - Filtro y Relaves;1.2.1.4.2;VERDADERO;1.2.1.4.2;Relleno;Relleno Tipo relaves - MNO2;m3;10794;;Relleno;10794;;20-03-2025;22-03-2025;3;;0;0;0;0;0;0;0;0;0;0;0;10794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.1;Excavación - Fundación Muro Noroeste 1;1.3.1.1.1;VERDADERO;1.3.1.1.1;Excavación;Excavación material común - MNO1;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.1;Excavación - Fundación Muro Noroeste 1;1.3.1.1.2;VERDADERO;1.3.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MNO1;m3;400;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.1;Excavación - Fundación Muro Noroeste 1;1.3.1.1.3;VERDADERO;1.3.1.1.3;Excavación;Excavación en Roca Ripable - MNO1;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.2;Rellenos - Aguas Abajo Muro Noroeste 1;1.3.1.2.1;VERDADERO;1.3.1.2.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MNO1;m3;58965;;Relleno;58965;;04-11-2024;28-11-2024;25;;0;0;0;0;0;0;0;58965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.3;Rellenos - Aguas Arriba;1.3.1.3.1;VERDADERO;1.3.1.3.1;Zampeado;Relleno de lastre para Zampeado - MNO1;m3;970;;Relleno;970;;29-11-2024;29-11-2024;1;;0;0;0;0;0;0;0;970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.3;Rellenos - Aguas Arriba;1.3.1.3.2;VERDADERO;1.3.1.3.2;Relleno;Relleno masivo de Lastre - aguas arriba bajo la cota 2496 - MNO1;m3;2960;;Relleno;2960;;30-11-2024;30-11-2024;1;;0;0;0;0;0;0;0;2960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.1;VERDADERO;1.3.1.4.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MNO1;m3;22374;;Relleno;22374;;22-11-2024;30-11-2024;9;;0;0;0;0;0;0;0;22374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.2;VERDADERO;1.3.1.4.2;Pretil;Pretil de seguridad - coronamiento MNO1;m3;510;;Relleno;510;;01-12-2024;01-12-2024;1;;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.3;VERDADERO;1.3.1.4.3;Relleno;Relleno tipo Filtro F1 - MNO1;m3;1145;;Relleno;1145;;22-11-2024;30-11-2024;9;;0;0;0;0;0;0;0;1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.4;VERDADERO;1.3.1.4.4;Relleno;Relleno material drenante tipo D2 - MNO1;m3;1142;;Relleno;1142;;22-11-2024;30-11-2024;9;;0;0;0;0;0;0;0;1142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.5;VERDADERO;1.3.1.4.5;Relleno;Relleno tipo Filtro F2 - MNO1;m3;1141;;Relleno;1141;;22-11-2024;30-11-2024;9;;0;0;0;0;0;0;0;1141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.1;Excavación - Fundación Muro Oeste;1.4.1.1.1;VERDADERO;1.4.1.1.1;Excavación;Excavación material común - MO;m3;23634;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
