Registro;Hora;Dir.;Operador;Camion ID;Camion Volumen (m3);Total (m3);Modelo
230101-001197;29-07-2024;ENTRA;T53;T53;20.2;20.2;Mercedes
230101-001196;29-07-2024;ENTRA;L31;L31;20;20;Mercedes
230101-001195;29-07-2024;ENTRA;T43;T43;17.3;17.3;Mercedes
230101-001194;29-07-2024;ENTRA;F51;F51;19.5;19.5;Volvo
230101-001193;29-07-2024;ENTRA;X32;X32;17.7;17.7;Volvo
230101-001192;29-07-2024;ENTRA;W10;W10;19.3;19.3;Mercedes
230101-001191;29-07-2024;ENTRA;W59;W59;19.8;19.8;Volvo
230101-001190;29-07-2024;ENTRA;L78;L78;19.2;19.2;Mercedes
230101-001189;29-07-2024;ENTRA;K29;K29;20.9;20.9;Volvo
230101-001188;29-07-2024;ENTRA;S56;S56;20.2;20.2;Volvo
230101-001187;29-07-2024;ENTRA;L13;L13;18.8;18.8;Volvo
230101-001186;29-07-2024;ENTRA;X98;X98;21.2;21.2;Volvo
230101-001185;29-07-2024;ENTRA;J63;J63;18.4;18.4;Mercedes
230101-001184;29-07-2024;ENTRA;V45;V45;20.3;20.3;Volvo
230101-001183;29-07-2024;ENTRA;F28;F28;21.1;21.1;Volvo
230101-001182;29-07-2024;ENTRA;L80;L80;19.2;19.2;Mercedes
230101-001181;29-07-2024;ENTRA;F94;F94;20.1;20.1;Volvo
230101-001180;29-07-2024;ENTRA;W12;W12;19.3;19.3;Mercedes
230101-001179;29-07-2024;ENTRA;F31;F31;21.3;21.3;Volvo
230101-001178;29-07-2024;ENTRA;K79;K79;21.5;21.5;Volvo
230101-001177;29-07-2024;ENTRA;L75;L75;19.9;19.9;Mercedes
230101-001176;29-07-2024;ENTRA;S57;S57;21;21;Volvo
230101-001175;29-07-2024;ENTRA;K48;K48;20.2;20.2;Volvo
230101-001174;29-07-2024;ENTRA;H32;H32;19.5;19.5;Mercedes
230101-001173;29-07-2024;ENTRA;X15;X15;18.9;18.9;Mercedes
230101-001172;29-07-2024;ENTRA;T53;T53;20.2;20.2;Mercedes
230101-001171;29-07-2024;ENTRA;W78;W78;18.2;18.2;Mercedes
230101-001170;29-07-2024;ENTRA;Z90;Z90;20.1;20.1;Volvo
230101-001169;29-07-2024;ENTRA;H21;H21;22.7;22.7;Volvo
230101-001168;29-07-2024;ENTRA;F33;F33;20;20;Volvo
230101-001167;29-07-2024;ENTRA;V55;V55;19.4;19.4;Volvo
230101-001166;29-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-001165;29-07-2024;ENTRA;F92;F92;20.8;20.8;Volvo
230101-001164;29-07-2024;ENTRA;Z82;Z82;20.7;20.7;Mercedes
230101-001163;29-07-2024;ENTRA;J10;J10;19.8;19.8;Volvo
230101-001162;29-07-2024;ENTRA;L79;L79;19.4;19.4;Mercedes
230101-001161;29-07-2024;ENTRA;V45;V45;19.7;19.7;Volvo
230101-001160;29-07-2024;ENTRA;T43;T43;20;20;Mercedes
230101-001159;29-07-2024;ENTRA;X32;X32;18.8;18.8;Volvo
230101-001158;29-07-2024;ENTRA;W58;W58;20.3;20.3;Volvo
230101-001157;29-07-2024;ENTRA;L80;L80;19.5;19.5;Mercedes
230101-001156;29-07-2024;ENTRA;V82;V82;19.5;19.5;Mercedes
230101-001155;29-07-2024;ENTRA;L31;L31;19.9;19.9;Mercedes
230101-001154;29-07-2024;ENTRA;F51;F51;19.2;19.2;Volvo
230101-001153;29-07-2024;ENTRA;W10;W10;19.3;19.3;Mercedes
230101-001152;29-07-2024;ENTRA;L78;L78;19.6;19.6;Mercedes
230101-001151;29-07-2024;ENTRA;K29;K29;20.2;20.2;Volvo
230101-001150;29-07-2024;ENTRA;L13;L13;19.5;19.5;Volvo
230101-001149;29-07-2024;ENTRA;T53;T53;19;19;Mercedes
230101-001148;29-07-2024;ENTRA;H30;H30;20.1;20.1;Mercedes
230101-001147;29-07-2024;ENTRA;J63;J63;18.4;18.4;Mercedes
230101-001146;29-07-2024;ENTRA;V45;V45;19.2;19.2;Volvo
230101-001145;29-07-2024;ENTRA;F31;F31;22.3;22.3;Volvo
230101-001144;29-07-2024;ENTRA;L80;L80;18.5;18.5;Mercedes
230101-001143;29-07-2024;ENTRA;K79;K79;22.6;22.6;Volvo
230101-001142;29-07-2024;ENTRA;S57;S57;20;20;Volvo
230101-001141;29-07-2024;ENTRA;X15;X15;20.5;20.5;Mercedes
230101-001140;29-07-2024;ENTRA;K48;K48;19.4;19.4;Volvo
230101-001139;29-07-2024;ENTRA;Z90;Z90;19.3;19.3;Volvo
230101-001138;29-07-2024;ENTRA;V43;V43;19.4;19.4;Volvo
230101-001137;29-07-2024;ENTRA;K47;K47;20.1;20.1;Volvo
230101-001136;29-07-2024;ENTRA;W12;W12;21.2;21.2;Mercedes
230101-001135;29-07-2024;ENTRA;L75;L75;19.5;19.5;Mercedes
230101-001134;29-07-2024;ENTRA;V55;V55;20.7;20.7;Volvo
230101-001133;29-07-2024;ENTRA;H32;H32;20.1;20.1;Mercedes
230101-001132;29-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-001131;29-07-2024;ENTRA;L31;L31;19.5;19.5;Mercedes
230101-001130;29-07-2024;ENTRA;T43;T43;18.5;18.5;Mercedes
230101-001129;29-07-2024;ENTRA;X32;X32;17.6;17.6;Volvo
230101-001128;29-07-2024;ENTRA;W78;W78;20.3;20.3;Mercedes
230101-001127;29-07-2024;ENTRA;F51;F51;19.5;19.5;Volvo
230101-001126;29-07-2024;ENTRA;F33;F33;20.8;20.8;Volvo
230101-001125;29-07-2024;ENTRA;L78;L78;18.7;18.7;Mercedes
230101-001124;29-07-2024;ENTRA;J63;J63;20;20;Mercedes
230101-001123;29-07-2024;ENTRA;L13;L13;19.9;19.9;Volvo
230101-001122;29-07-2024;ENTRA;F88;F88;18.6;18.6;Mercedes
230101-001121;29-07-2024;ENTRA;W10;W10;19;19;Mercedes
230101-001120;29-07-2024;ENTRA;X98;X98;19.7;19.7;Volvo
230101-001119;29-07-2024;ENTRA;K29;K29;20.2;20.2;Volvo
230101-001118;29-07-2024;ENTRA;V45;V45;20.9;20.9;Volvo
230101-001117;29-07-2024;ENTRA;T53;T53;20.1;20.1;Mercedes
230101-001116;29-07-2024;ENTRA;L80;L80;20.3;20.3;Mercedes
230101-001115;29-07-2024;ENTRA;S77;S77;20.2;20.2;Volvo
230101-001114;29-07-2024;ENTRA;J10;J10;21.6;21.6;Volvo
230101-001113;29-07-2024;ENTRA;K46;K46;20.1;20.1;Volvo
230101-001112;29-07-2024;ENTRA;P27;P27;20.9;20.9;Volvo
230101-001111;29-07-2024;ENTRA;L67;L67;21.4;21.4;Mercedes
230101-001110;29-07-2024;ENTRA;S36;S36;20.8;20.8;Mercedes
230101-001109;29-07-2024;ENTRA;F29;F29;22.8;22.8;Volvo
230101-001108;29-07-2024;ENTRA;H21;H21;20.7;20.7;Volvo
230101-001107;29-07-2024;ENTRA;X15;X15;20.2;20.2;Mercedes
230101-001106;29-07-2024;ENTRA;K48;K48;20.5;20.5;Volvo
230101-001105;29-07-2024;ENTRA;V44;V44;22;22;Volvo
230101-001104;29-07-2024;ENTRA;K79;K79;21.2;21.2;Volvo
230101-001103;29-07-2024;ENTRA;T51;T51;20.3;20.3;Mercedes
230101-001102;29-07-2024;ENTRA;K47;K47;21.1;21.1;Volvo
230101-001101;29-07-2024;ENTRA;B34;B34;19.6;19.6;Volvo
230101-001100;29-07-2024;ENTRA;Z90;Z90;21.1;21.1;Volvo
230101-001099;29-07-2024;ENTRA;F28;F28;21.6;21.6;Volvo
230101-001098;29-07-2024;ENTRA;L13;L13;20.5;20.5;Volvo
230101-001097;29-07-2024;ENTRA;W58;W58;21.1;21.1;Volvo
230101-001096;29-07-2024;ENTRA;H92;H92;21.1;21.1;Volvo
230101-001095;29-07-2024;ENTRA;R84;R84;18.7;18.7;Mercedes
230101-001094;29-07-2024;ENTRA;Z92;Z92;21.1;21.1;Volvo
230101-001093;29-07-2024;ENTRA;Z82;Z82;20.4;20.4;Mercedes
230101-001092;29-07-2024;ENTRA;H32;H32;19.4;19.4;Mercedes
230101-001091;29-07-2024;ENTRA;S77;S77;20.3;20.3;Volvo
230101-001090;29-07-2024;ENTRA;V45;V45;19.5;19.5;Volvo
230101-001089;29-07-2024;ENTRA;F92;F92;22.9;22.9;Volvo
230101-001088;29-07-2024;ENTRA;L78;L78;20.3;20.3;Mercedes
230101-001087;29-07-2024;ENTRA;L80;L80;19.8;19.8;Mercedes
230101-001086;29-07-2024;ENTRA;S56;S56;20.2;20.2;Volvo
230101-001085;29-07-2024;ENTRA;J54;J54;19.4;19.4;Mercedes
230101-001084;29-07-2024;ENTRA;W78;W78;18.7;18.7;Mercedes
230101-001083;29-07-2024;ENTRA;J74;J74;19.8;19.8;Volvo
230101-001082;29-07-2024;ENTRA;W10;W10;20.3;20.3;Mercedes
230101-001081;29-07-2024;ENTRA;X98;X98;21.2;21.2;Volvo
230101-001080;29-07-2024;ENTRA;T43;T43;20.4;20.4;Mercedes
230101-001079;29-07-2024;ENTRA;K29;K29;18.8;18.8;Volvo
230101-001078;29-07-2024;ENTRA;L79;L79;20.5;20.5;Mercedes
230101-001077;29-07-2024;ENTRA;L77;L77;21.4;21.4;Mercedes
230101-001076;29-07-2024;ENTRA;Y28;Y28;19.9;19.9;Volvo
230101-001075;29-07-2024;ENTRA;H30;H30;21.4;21.4;Mercedes
230101-001074;29-07-2024;ENTRA;F93;F93;21.4;21.4;Volvo
230101-001073;29-07-2024;ENTRA;K46;K46;20.8;20.8;Volvo
230101-001072;29-07-2024;ENTRA;P27;P27;21.1;21.1;Volvo
230101-001071;29-07-2024;ENTRA;V82;V82;19.8;19.8;Mercedes
230101-001070;29-07-2024;ENTRA;F88;F88;20.7;20.7;Mercedes
230101-001069;29-07-2024;ENTRA;T54;T54;20.8;20.8;Mercedes
230101-001068;29-07-2024;ENTRA;X15;X15;20.9;20.9;Mercedes
230101-001067;29-07-2024;ENTRA;F94;F94;22.7;22.7;Volvo
230101-001066;29-07-2024;ENTRA;W12;W12;20.7;20.7;Mercedes
230101-001065;29-07-2024;ENTRA;K48;K48;18.5;18.5;Volvo
230101-001064;29-07-2024;ENTRA;Z84;Z84;20.6;20.6;Volvo
230101-001063;29-07-2024;ENTRA;F29;F29;21.9;21.9;Volvo
230101-001062;29-07-2024;ENTRA;V43;V43;19.8;19.8;Volvo
230101-001061;29-07-2024;ENTRA;W58;W58;20.5;20.5;Volvo
230101-001060;29-07-2024;ENTRA;H21;H21;23.2;23.2;Volvo
230101-001059;29-07-2024;ENTRA;X32;X32;20.9;20.9;Volvo
230101-001058;29-07-2024;ENTRA;TT43;TT43;21.2;21.2;Mercedes
230101-001057;29-07-2024;ENTRA;S79;S79;20.3;20.3;Volvo
230101-001056;29-07-2024;ENTRA;S57;S57;21.3;21.3;Volvo
230101-001055;29-07-2024;ENTRA;Y18;Y18;22.3;22.3;Volvo
230101-001054;29-07-2024;ENTRA;B34;B34;20.8;20.8;Volvo
230101-001053;29-07-2024;ENTRA;F28;F28;19.6;19.6;Volvo
230101-001052;29-07-2024;ENTRA;L13;L13;20.8;20.8;Volvo
230101-001051;29-07-2024;ENTRA;H92;H92;20.4;20.4;Volvo
230101-001050;29-07-2024;ENTRA;K79;K79;23.2;23.2;Volvo
230101-001049;29-07-2024;ENTRA;L31;L31;19;19;Mercedes
230101-001048;29-07-2024;ENTRA;K47;K47;21.1;21.1;Volvo
230101-001047;29-07-2024;ENTRA;Z92;Z92;20.8;20.8;Volvo
230101-001046;29-07-2024;ENTRA;Z82;Z82;18.8;18.8;Mercedes
230101-001045;29-07-2024;ENTRA;R84;R84;18.1;18.1;Mercedes
230101-001044;29-07-2024;ENTRA;L78;L78;20.2;20.2;Mercedes
230101-001043;29-07-2024;ENTRA;W10;W10;18.5;18.5;Mercedes
230101-001042;29-07-2024;ENTRA;J54;J54;20.4;20.4;Mercedes
230101-001041;29-07-2024;ENTRA;F93;F93;22.7;22.7;Volvo
230101-001040;29-07-2024;ENTRA;W78;W78;18.8;18.8;Mercedes
230101-001039;29-07-2024;ENTRA;V45;V45;19.8;19.8;Volvo
230101-001038;29-07-2024;ENTRA;X15;X15;21.3;21.3;Mercedes
230101-001037;29-07-2024;ENTRA;T54;T54;20.9;20.9;Mercedes
230101-001036;29-07-2024;ENTRA;L80;L80;19.6;19.6;Mercedes
230101-001035;29-07-2024;ENTRA;T51;T51;20.1;20.1;Mercedes
230101-001034;29-07-2024;ENTRA;K48;K48;18.3;18.3;Volvo
230101-001033;29-07-2024;ENTRA;X33;X33;21.4;21.4;Volvo
230101-001032;29-07-2024;ENTRA;X31;X31;21.9;21.9;Volvo
230101-001031;29-07-2024;ENTRA;H92;H92;20.6;20.6;Volvo
230101-001030;29-07-2024;ENTRA;X98;X98;19.5;19.5;Volvo
230101-001029;29-07-2024;ENTRA;F88;F88;19.4;19.4;Mercedes
230101-001028;29-07-2024;ENTRA;V43;V43;20.7;20.7;Volvo
230101-001027;29-07-2024;ENTRA;J63;J63;17.8;17.8;Mercedes
230101-001026;29-07-2024;ENTRA;K29;K29;21.2;21.2;Volvo
230101-001025;29-07-2024;ENTRA;F92;F92;21.7;21.7;Volvo
230101-001024;29-07-2024;ENTRA;J10;J10;21.2;21.2;Volvo
230101-001023;29-07-2024;ENTRA;T43;T43;20.4;20.4;Mercedes
230101-001022;29-07-2024;ENTRA;L79;L79;18.3;18.3;Mercedes
230101-001021;29-07-2024;ENTRA;S57;S57;20.5;20.5;Volvo
230101-001020;29-07-2024;ENTRA;K46;K46;21.3;21.3;Volvo
230101-001019;29-07-2024;ENTRA;L77;L77;18.3;18.3;Mercedes
230101-001018;29-07-2024;ENTRA;TT43;TT43;20.1;20.1;Mercedes
230101-001017;29-07-2024;ENTRA;K28;K28;20.8;20.8;Volvo
230101-001016;29-07-2024;ENTRA;W59;W59;20.6;20.6;Volvo
230101-001015;29-07-2024;ENTRA;H21;H21;23.7;23.7;Volvo
230101-001014;29-07-2024;ENTRA;J79;J79;20.8;20.8;Volvo
230101-001013;29-07-2024;ENTRA;J74;J74;19.9;19.9;Volvo
230101-001012;29-07-2024;ENTRA;L75;L75;0.25;0.25;Mercedes
230101-001011;29-07-2024;ENTRA;V44;V44;0;0;Volvo
230101-001010;29-07-2024;ENTRA;Y28;Y28;19.4;19.4;Volvo
230101-001009;29-07-2024;ENTRA;Z84;Z84;20.8;20.8;Volvo
230101-001008;29-07-2024;ENTRA;X32;X32;21.1;21.1;Volvo
230101-001007;29-07-2024;ENTRA;S79;S79;18.7;18.7;Volvo
230101-001006;29-07-2024;ENTRA;V45;V45;21.3;21.3;Volvo
230101-001005;29-07-2024;ENTRA;K79;K79;23.4;23.4;Volvo
230101-001004;29-07-2024;ENTRA;L80;L80;19.6;19.6;Mercedes
230101-001003;29-07-2024;ENTRA;F31;F31;22.5;22.5;Volvo
230101-001002;29-07-2024;ENTRA;L31;L31;20.8;20.8;Mercedes
230101-001001;29-07-2024;ENTRA;L13;L13;20;20;Volvo
230101-001000;29-07-2024;ENTRA;B34;B34;19.1;19.1;Volvo
230101-000999;29-07-2024;ENTRA;W58;W58;20.7;20.7;Volvo
230101-000998;29-07-2024;ENTRA;Z92;Z92;20.9;20.9;Volvo
230101-000997;29-07-2024;ENTRA;X15;X15;18.5;18.5;Mercedes
230101-000996;29-07-2024;ENTRA;F88;F88;20.3;20.3;Mercedes
230101-000995;29-07-2024;ENTRA;Z82;Z82;19.1;19.1;Mercedes
230101-000994;29-07-2024;ENTRA;F93;F93;21;21;Volvo
230101-000993;29-07-2024;ENTRA;L78;L78;19.4;19.4;Mercedes
230101-000992;29-07-2024;ENTRA;J54;J54;20.4;20.4;Mercedes
230101-000991;29-07-2024;ENTRA;X33;X33;20.3;20.3;Volvo
230101-000990;29-07-2024;ENTRA;K48;K48;21.5;21.5;Volvo
230101-000989;29-07-2024;ENTRA;W60;W60;20.7;20.7;Volvo
230101-000988;29-07-2024;ENTRA;F92;F92;23.1;23.1;Volvo
230101-000987;29-07-2024;ENTRA;J63;J63;20.7;20.7;Mercedes
230101-000986;29-07-2024;ENTRA;X98;X98;20.3;20.3;Volvo
230101-000985;29-07-2024;ENTRA;K46;K46;21.7;21.7;Volvo
230101-000984;29-07-2024;ENTRA;R84;R84;19.9;19.9;Mercedes
230101-000983;29-07-2024;ENTRA;L79;L79;19.3;19.3;Mercedes
230101-000982;29-07-2024;ENTRA;J10;J10;22;22;Volvo
230101-000981;29-07-2024;ENTRA;W58;W58;19.9;19.9;Volvo
230101-000980;29-07-2024;ENTRA;T43;T43;20.1;20.1;Mercedes
230101-000979;29-07-2024;ENTRA;L13;L13;20.7;20.7;Volvo
230101-000978;29-07-2024;ENTRA;S79;S79;19;19;Volvo
230101-000977;29-07-2024;ENTRA;L78;L78;19.7;19.7;Mercedes
230101-000976;29-07-2024;ENTRA;L31;L31;21.7;21.7;Mercedes
230101-000975;29-07-2024;ENTRA;Z92;Z92;20.7;20.7;Volvo
230101-000974;29-07-2024;ENTRA;S57;S57;20.3;20.3;Volvo
230101-000973;29-07-2024;ENTRA;H21;H21;22.6;22.6;Volvo
230101-000972;29-07-2024;ENTRA;Z84;Z84;20.5;20.5;Volvo
230101-000971;29-07-2024;ENTRA;V45;V45;20.3;20.3;Volvo
230101-000970;29-07-2024;ENTRA;L80;L80;19.2;19.2;Mercedes
230101-000969;29-07-2024;ENTRA;B34;B34;18.8;18.8;Volvo
230101-000968;29-07-2024;ENTRA;H92;H92;21.4;21.4;Volvo
230101-000967;29-07-2024;ENTRA;K79;K79;22.1;22.1;Volvo
230101-000966;29-07-2024;ENTRA;F88;F88;21.2;21.2;Mercedes
230101-000939;29-07-2024;ENTRA;V45;V45;21;21;Volvo
230101-000938;29-07-2024;ENTRA;L78;L78;21.6;21.6;Mercedes
230101-000937;29-07-2024;ENTRA;L80;L80;20.1;20.1;Mercedes
230101-000965;29-07-2024;ENTRA;Z90;Z90;20.8;20.8;Volvo
230101-000964;29-07-2024;ENTRA;F51;F51;19.8;19.8;Volvo
230101-000936;29-07-2024;ENTRA;F88;F88;20.9;20.9;Mercedes
230101-000935;29-07-2024;ENTRA;W58;W58;20.3;20.3;Volvo
230101-000934;29-07-2024;ENTRA;L13;L13;20.2;20.2;Volvo
230101-000963;29-07-2024;ENTRA;W58;W58;19.2;19.2;Volvo
230101-000962;29-07-2024;ENTRA;K48;K48;19.6;19.6;Volvo
230101-000933;29-07-2024;ENTRA;W12;W12;21.1;21.1;Mercedes
230101-000961;29-07-2024;ENTRA;H30;H30;20.7;20.7;Mercedes
230101-000932;29-07-2024;ENTRA;F28;F28;22.1;22.1;Volvo
230101-000960;29-07-2024;ENTRA;L13;L13;20;20;Volvo
230101-000931;29-07-2024;ENTRA;B34;B34;19;19;Volvo
230101-000959;29-07-2024;ENTRA;W12;W12;20.5;20.5;Mercedes
230101-000958;29-07-2024;ENTRA;X33;X33;19.2;19.2;Volvo
230101-000930;29-07-2024;ENTRA;K79;K79;22.6;22.6;Volvo
230101-000957;29-07-2024;ENTRA;T51;T51;20.4;20.4;Mercedes
230101-000929;29-07-2024;ENTRA;Z92;Z92;22.2;22.2;Volvo
230101-000956;29-07-2024;ENTRA;F92;F92;21.1;21.1;Volvo
230101-000928;29-07-2024;ENTRA;F31;F31;22.7;22.7;Volvo
230101-000955;29-07-2024;ENTRA;W59;W59;20.1;20.1;Volvo
230101-000954;29-07-2024;ENTRA;K47;K47;20.5;20.5;Volvo
230101-000953;29-07-2024;ENTRA;Z82;Z82;20.2;20.2;Mercedes
230101-000952;29-07-2024;ENTRA;W78;W78;19.6;19.6;Mercedes
230101-000927;29-07-2024;ENTRA;H21;H21;23.1;23.1;Volvo
230101-000951;29-07-2024;ENTRA;Z92;Z92;22.3;22.3;Volvo
230101-000950;29-07-2024;ENTRA;X98;X98;21.1;21.1;Volvo
230101-000949;29-07-2024;ENTRA;J54;J54;20.5;20.5;Mercedes
230101-000948;29-07-2024;ENTRA;J63;J63;19.6;19.6;Mercedes
230101-000947;29-07-2024;ENTRA;H21;H21;23;23;Volvo
230101-000946;29-07-2024;ENTRA;X32;X32;20.6;20.6;Volvo
230101-000945;29-07-2024;ENTRA;Z84;Z84;22.2;22.2;Volvo
230101-000944;29-07-2024;ENTRA;L79;L79;19.9;19.9;Mercedes
230101-000943;29-07-2024;ENTRA;K46;K46;20.8;20.8;Volvo
230101-000942;29-07-2024;ENTRA;T43;T43;19.7;19.7;Mercedes
230101-000941;29-07-2024;ENTRA;L31;L31;20.5;20.5;Mercedes
230101-000940;29-07-2024;ENTRA;J10;J10;23.8;23.8;Volvo
230101-000926;29-07-2024;ENTRA;F51;F51;18.3;18.3;Volvo
230101-000925;29-07-2024;ENTRA;S57;S57;18.7;18.7;Volvo
230101-000924;29-07-2024;ENTRA;T53;T53;20.2;20.2;Mercedes
230101-000923;29-07-2024;ENTRA;F33;F33;22.4;22.4;Volvo
230101-000922;29-07-2024;ENTRA;L80;L80;19.3;19.3;Mercedes
230101-000921;29-07-2024;ENTRA;J63;J63;19;19;Mercedes
230101-000920;29-07-2024;ENTRA;V45;V45;20;20;Volvo
230101-000919;29-07-2024;ENTRA;W59;W59;19.8;19.8;Volvo
230101-000918;29-07-2024;ENTRA;L79;L79;19.6;19.6;Mercedes
230101-000917;29-07-2024;ENTRA;L78;L78;19.1;19.1;Mercedes
230101-000916;29-07-2024;ENTRA;V55;V55;20.7;20.7;Volvo
230101-000915;29-07-2024;ENTRA;L13;L13;19.4;19.4;Volvo
230101-000914;29-07-2024;ENTRA;T43;T43;20;20;Mercedes
230101-000913;29-07-2024;ENTRA;H21;H21;21.3;21.3;Volvo
230101-000912;29-07-2024;ENTRA;Z90;Z90;19.4;19.4;Volvo
230101-000911;29-07-2024;ENTRA;K48;K48;20.2;20.2;Volvo
230101-000910;29-07-2024;ENTRA;T51;T51;19.2;19.2;Mercedes
230101-000909;29-07-2024;ENTRA;J10;J10;21.3;21.3;Volvo
230101-000908;29-07-2024;ENTRA;H32;H32;20;20;Mercedes
230101-000907;29-07-2024;ENTRA;V82;V82;19.1;19.1;Mercedes
230101-000906;29-07-2024;ENTRA;W10;W10;19.3;19.3;Mercedes
230101-000905;29-07-2024;ENTRA;K47;K47;19.5;19.5;Volvo
230101-000904;29-07-2024;ENTRA;S57;S57;20.1;20.1;Volvo
230101-000903;29-07-2024;ENTRA;L80;L80;21.5;21.5;Mercedes
230101-000902;29-07-2024;ENTRA;K29;K29;19.6;19.6;Volvo
230101-000901;29-07-2024;ENTRA;W59;W59;20.4;20.4;Volvo
230101-000900;29-07-2024;ENTRA;X32;X32;18.5;18.5;Volvo
230101-000899;29-07-2024;ENTRA;L13;L13;19.2;19.2;Volvo
230101-000898;29-07-2024;ENTRA;L31;L31;21.3;21.3;Mercedes
230101-000897;29-07-2024;ENTRA;X98;X98;18.9;18.9;Volvo
230101-000896;29-07-2024;ENTRA;X15;X15;20.6;20.6;Mercedes
230101-000895;29-07-2024;ENTRA;Y28;Y28;20.3;20.3;Volvo
230101-000894;29-07-2024;ENTRA;L78;L78;19.4;19.4;Mercedes
230101-000893;29-07-2024;ENTRA;W60;W60;19.9;19.9;Volvo
230101-000892;29-07-2024;ENTRA;F94;F94;21.1;21.1;Volvo
230101-000891;29-07-2024;ENTRA;W78;W78;19.9;19.9;Mercedes
230101-000890;29-07-2024;ENTRA;F33;F33;19.7;19.7;Volvo
230101-000889;29-07-2024;ENTRA;J10;J10;21.4;21.4;Volvo
230101-000888;29-07-2024;ENTRA;H32;H32;18.5;18.5;Mercedes
230101-000887;29-07-2024;ENTRA;K47;K47;19;19;Volvo
230101-000886;29-07-2024;ENTRA;J63;J63;19.6;19.6;Mercedes
230101-000885;29-07-2024;ENTRA;H30;H30;19.5;19.5;Mercedes
230101-000884;29-07-2024;ENTRA;L13;L13;18.9;18.9;Volvo
230101-000883;29-07-2024;ENTRA;K29;K29;20.5;20.5;Volvo
230101-000882;29-07-2024;ENTRA;W10;W10;20.2;20.2;Mercedes
230101-000881;29-07-2024;ENTRA;L80;L80;19.6;19.6;Mercedes
230101-000880;29-07-2024;ENTRA;W60;W60;19;19;Volvo
230101-000879;29-07-2024;ENTRA;W78;W78;19.8;19.8;Mercedes
230101-000878;29-07-2024;ENTRA;T51;T51;19.8;19.8;Mercedes
230101-000877;29-07-2024;ENTRA;Z90;Z90;20.3;20.3;Volvo
230101-000876;29-07-2024;ENTRA;V55;V55;20.7;20.7;Volvo
230101-000875;29-07-2024;ENTRA;S57;S57;20.1;20.1;Volvo
230101-000874;29-07-2024;ENTRA;K48;K48;19.6;19.6;Volvo
230101-000873;29-07-2024;ENTRA;F31;F31;21.7;21.7;Volvo
230101-000872;29-07-2024;ENTRA;X32;X32;19.7;19.7;Volvo
230101-000871;29-07-2024;ENTRA;W59;W59;20.9;20.9;Volvo
230101-000870;29-07-2024;ENTRA;J11;J11;21.4;21.4;Volvo
230101-000869;29-07-2024;ENTRA;Y28;Y28;20.2;20.2;Volvo
230101-000868;29-07-2024;ENTRA;X98;X98;19.1;19.1;Volvo
230101-000867;29-07-2024;ENTRA;Z82;Z82;19.8;19.8;Mercedes
230101-000866;29-07-2024;ENTRA;L78;L78;19.9;19.9;Mercedes
230101-000865;29-07-2024;ENTRA;L79;L79;19.9;19.9;Mercedes
230101-000864;29-07-2024;ENTRA;F33;F33;22.8;22.8;Volvo
230101-000863;29-07-2024;ENTRA;F94;F94;21.4;21.4;Volvo
230101-000862;29-07-2024;ENTRA;L31;L31;18;18;Mercedes
230101-000861;29-07-2024;ENTRA;W12;W12;19.1;19.1;Mercedes
230101-000860;29-07-2024;ENTRA;F93;F93;21.3;21.3;Volvo
230101-000859;29-07-2024;ENTRA;J10;J10;21.2;21.2;Volvo
230101-000858;29-07-2024;ENTRA;K28;K28;19.6;19.6;Volvo
230101-000857;29-07-2024;ENTRA;X15;X15;19;19;Mercedes
230101-000856;29-07-2024;ENTRA;K29;K29;19.7;19.7;Volvo
230101-000855;29-07-2024;ENTRA;W59;W59;19.3;19.3;Volvo
230101-000854;29-07-2024;ENTRA;H32;H32;21;21;Mercedes
230101-000853;29-07-2024;ENTRA;H30;H30;19.6;19.6;Mercedes
230101-000852;29-07-2024;ENTRA;K47;K47;19.8;19.8;Volvo
230101-000851;29-07-2024;ENTRA;L13;L13;19.1;19.1;Volvo
230101-000850;29-07-2024;ENTRA;T51;T51;18.3;18.3;Mercedes
230101-000849;29-07-2024;ENTRA;Z90;Z90;20.4;20.4;Volvo
230101-000848;29-07-2024;ENTRA;V55;V55;20.1;20.1;Volvo
230101-000847;29-07-2024;ENTRA;Y28;Y28;18.8;18.8;Volvo
230101-000846;29-07-2024;ENTRA;J74;J74;20.5;20.5;Volvo
230101-000845;29-07-2024;ENTRA;X32;X32;20.6;20.6;Volvo
230101-000844;29-07-2024;ENTRA;L80;L80;19.1;19.1;Mercedes
230101-000843;29-07-2024;ENTRA;W58;W58;18.5;18.5;Volvo
230101-000842;29-07-2024;ENTRA;K48;K48;19.1;19.1;Volvo
230101-000841;29-07-2024;ENTRA;J63;J63;20;20;Mercedes
230101-000840;29-07-2024;ENTRA;J11;J11;19.7;19.7;Volvo
230101-000839;28-07-2024;ENTRA;F33;F33;19.9;19.9;Volvo
230101-000838;28-07-2024;ENTRA;Z82;Z82;19.1;19.1;Mercedes
230101-000837;28-07-2024;ENTRA;L77;L77;19.5;19.5;Mercedes
230101-000836;28-07-2024;ENTRA;W60;W60;20.4;20.4;Volvo
230101-000835;28-07-2024;ENTRA;F94;F94;21.1;21.1;Volvo
230101-000834;28-07-2024;ENTRA;X98;X98;19.8;19.8;Volvo
